,Return,Sequence,Label,Time
56,-0.7715633,0,0,09:30
89,0.074268239,0,0,09:30
246,-0.446796,0,0,09:30
259,-1.0575834,0,0,09:30
262,0.6448972,0,0,09:30
536,0.2121633,0,0,09:30
635,-0.367279,0,0,09:30
912,-0.0799951,0,0,09:30
932,-0.64783885,0,0,09:30
1173,0.4702848,0,0,09:30
1475,0.2569757,0,0,09:30
1517,-1.195024434,0,0,09:30
1600,-0.3218111,0,0,09:30
1843,-1.262284735,0,0,09:30
2286,1.100058189,0,0,09:30
2894,-0.8114021,0,0,09:30
2997,0.997975804,0,0,09:30
3035,-0.287681,0,0,09:30
3310,-0.3959061,0,0,09:30
3485,-0.3083443,0,0,09:30
3575,1.3709626,0,0,09:30
3657,-0.3178171,0,0,09:30
3866,-0.5059408,0,0,09:30
3891,0.3683803,0,0,09:30
4118,0.9123185,0,0,09:30
4174,-0.7505286,0,0,09:30
4447,0.517249561,0,0,09:30
4993,0.2949048,0,0,09:30
5016,0.7433097,0,0,09:30
5196,-1.0436961,0,0,09:30
5901,0.4424416,0,0,09:30
5918,0.0459996,0,0,09:30
6003,-0.4855332,0,0,09:30
6611,-0.627233233,0,0,09:30
6624,0.485602317,0,0,09:30
6650,-0.8517501,0,0,09:30
6955,0.1827739,0,0,09:30
7107,0.946817083,0,0,09:30
7119,0.0808747,0,0,09:30
7485,0.0784828,0,0,09:30
7846,0.6285487,0,0,09:30
8816,0.0488124,0,0,09:30
8870,-0.8387079,0,0,09:30
9130,-0.3178355,0,0,09:30
9214,0.6701764,0,0,09:30
9317,0.7058342,0,0,09:30
9564,-0.2738134,0,0,09:30
9608,-0.0567669,0,0,09:30
9630,0.4060342,0,0,09:30
9764,0.3941302,0,0,09:30
9802,0.5233386,0,0,09:30
9885,0.6190999,0,0,09:30
10490,-0.3417882,0,0,09:30
10644,-0.1282371,0,0,09:30
10924,0.0243241,0,0,09:30
10978,0.0262661,0,0,09:30
11044,0.700663698,0,0,09:30
11198,-0.2285075,0,0,09:30
11490,0.9451324,0,0,09:30
11549,-1.2223594,0,0,09:30
11577,0.3711881,0,0,09:30
11733,0.4098345,0,0,09:30
11767,-0.0902406,0,0,09:30
12094,-0.8901167,0,0,09:30
12125,0.7728363,0,0,09:30
12161,0.0468355,0,0,09:30
12498,-0.4366177,0,0,09:30
12585,-0.7719838,0,0,09:30
12633,0.7559408,0,0,09:30
12896,1.5878772,0,0,09:30
13252,1.025816,0,0,09:30
13349,0.9511409,0,0,09:30
13960,0.1198833,0,0,09:30
14099,0.611482,0,0,09:30
14422,-0.3281399,0,0,09:30
14679,0.4720732,0,0,09:30
14860,0.9702815,0,0,09:30
14958,0.3360737,0,0,09:30
15044,0.4323111,0,0,09:30
15273,-0.1905779,0,0,09:30
15524,-0.3459061,0,0,09:30
15532,0.9730779,0,0,09:30
15694,0.3994774,0,0,09:30
15856,0.3465625,0,0,09:30
15988,0.2036525,0,0,09:30
16010,-0.9333162,0,0,09:30
16098,0.8130703,0,0,09:30
16213,1.711410178,0,0,09:30
16328,-0.0035958,0,0,09:30
16410,-0.583559115,0,0,09:30
16514,-1.2455482,0,0,09:30
16872,-0.161864681,0,0,09:30
17058,-0.293841499,0,0,09:30
17112,-0.071819732,0,0,09:30
17409,0,0,0,09:30
17421,0,0,0,09:30
17747,-0.2565852,0,0,09:30
18004,-0.5000631,0,0,09:30
18243,0.2299528,0,0,09:30
18336,0.427873,0,0,09:30
19008,0.3146885,0,0,09:30
19138,-0.7895627,0,0,09:30
19333,0.0466101,0,0,09:30
19865,0.572611245,0,0,09:30
19984,-0.3126633,0,0,09:30
20150,-0.4338403,0,0,09:30
20403,-0.2653767,0,0,09:30
20504,0.7467896,0,0,09:30
20654,-0.0705389,0,0,09:30
21337,-0.4775931,0,0,09:30
21732,0.0973284,0,0,09:30
21899,-0.4647277,0,0,09:30
21932,0.4230913,0,0,09:30
22328,0.1831494,0,0,09:30
22419,-0.4020853,0,0,09:30
22469,0.732714138,0,0,09:30
22558,0.2901781,0,0,09:30
22564,0.320472931,0,0,09:30
22646,0.0183601,0,0,09:30
22757,-1.23047006,0,0,09:30
23361,-1.486405971,0,0,09:30
23509,-1.078685286,0,0,09:30
23573,0.6583725,0,0,09:30
23597,-0.267966965,0,0,09:30
23717,-0.0719668,0,0,09:30
24030,0.241128792,0,0,09:30
24150,0.3914767,0,0,09:30
24165,-0.8650388,0,0,09:30
24637,0.150762,0,0,09:30
24736,0.1892405,0,0,09:30
24978,-1.1550863,0,0,09:30
25254,0.3961415,0,0,09:30
25434,0.491334836,0,0,09:30
25679,0.9110432,0,0,09:30
25804,-1.3105215,0,0,09:30
26078,-0.3238595,0,0,09:30
26538,-0.6354442,0,0,09:30
26573,0.2902312,0,0,09:30
26636,-0.0415741,0,0,09:30
26643,-0.1325309,0,0,09:30
26702,0.3215929,0,0,09:30
26775,0.3239337,0,0,09:30
26918,-0.196576477,0,0,09:30
27172,0.1609971,0,0,09:30
27293,0.2819884,0,0,09:30
27962,0.145947802,0,0,09:30
28069,0.7625167,0,0,09:30
28313,-0.8962843,0,0,09:30
28357,0.4314716,0,0,09:30
28588,0.0523216,0,0,09:30
28597,0.6352861,0,0,09:30
28866,-0.39247822,0,0,09:30
28899,-0.7515908,0,0,09:30
28978,0.4500071,0,0,09:30
29061,-0.5076432,0,0,09:30
29276,-0.9673888,0,0,09:30
29564,-0.3030828,0,0,09:30
30025,-0.9866654,0,0,09:30
30104,-0.3088589,0,0,09:30
30142,0.1869435,0,0,09:30
30462,0.9026169,0,0,09:30
30563,0.998813,0,0,09:30
30573,-0.6437462,0,0,09:30
31342,0.4631624,0,0,09:30
31411,0.404026084,0,0,09:30
31451,-0.2711924,0,0,09:30
31481,-0.8859673,0,0,09:30
31615,0.0448356,0,0,09:30
31672,0.4277001,0,0,09:30
31871,-1.73197833,0,0,09:30
32096,-0.4411304,0,0,09:30
32315,-0.134641959,0,0,09:30
32412,-1.622744385,0,0,09:30
32427,0.11165699,0,0,09:30
33325,1.338240214,0,0,09:30
33669,0.0391936,0,0,09:30
33811,-0.4799589,0,0,09:30
33828,0.2295564,0,0,09:30
34185,0.2202638,0,0,09:30
34664,0.9326055,0,0,09:30
34847,1.206852899,0,0,09:30
34874,-0.4531931,0,0,09:30
35221,-0.2053343,0,0,09:30
35240,0.3277337,0,0,09:30
35439,0.260203,0,0,09:30
35527,-0.1091556,0,0,09:30
35994,-0.4368316,0,0,09:30
36035,0.6629678,0,0,09:30
36120,-0.542169566,0,0,09:30
36483,-1.757652083,0,0,09:30
36687,-0.840241,0,0,09:30
36850,0.357920372,0,0,09:30
36994,-0.0963359,0,0,09:30
37147,0.7090781,0,0,09:30
37161,-0.1430697,0,0,09:30
37297,0.8134115,0,0,09:30
37457,0.469821,0,0,09:30
37559,1.3818099,0,0,09:30
37566,-0.7981302,0,0,09:30
37861,-0.296922048,0,0,09:30
37918,0.8363563,0,0,09:30
38014,1.5980894,0,0,09:30
38103,0,0,0,09:30
38327,1.112680034,0,0,09:30
38378,-0.2398118,0,0,09:30
38594,-1.381732347,0,0,09:30
39229,-0.269718747,0,0,09:30
39292,1.0693759,0,0,09:30
39689,-1.576010456,0,0,09:30
39705,0,0,0,09:30
39780,-0.4123896,0,0,09:30
40212,-1.2051132,0,0,09:30
40331,-0.4829493,0,0,09:30
40461,0.1648078,0,0,09:30
40640,-0.0330447,0,0,09:30
40702,-0.2958272,0,0,09:30
40812,-0.18479511,0,0,09:30
40940,0.6871729,0,0,09:30
41030,-0.3045847,0,0,09:30
41261,-0.0963364,0,0,09:30
41782,0.2004862,0,0,09:30
42290,0.6927115,0,0,09:30
42336,-0.5534533,0,0,09:30
42520,-0.6092612,0,0,09:30
42623,0.4610955,0,0,09:30
43312,-0.141096682,0,0,09:30
43330,-0.9731811,0,0,09:30
43336,0.5135215,0,0,09:30
43671,0.477929,0,0,09:30
44760,-0.363502,0,0,09:30
44857,0.1241031,0,0,09:30
44985,0.604341391,0,0,09:30
45460,-0.5857695,0,0,09:30
45825,-0.0590096,0,0,09:30
46030,0.221329617,0,0,09:30
46034,0.3980047,0,0,09:30
46665,-0.3502778,0,0,09:30
46678,0.3802256,0,0,09:30
47791,-0.168175938,0,0,09:30
48255,-0.111169012,0,0,09:30
48564,-0.236260914,0,0,09:30
48575,-0.925955541,0,0,09:30
48662,-0.476858665,0,0,09:30
48717,-0.120481928,0,0,09:30
49310,0.0160268,0,0,09:30
49720,-0.288201862,0,0,09:30
49727,0.428703337,0,0,09:30
49731,-0.7468205,0,0,09:30
49910,1.16466583,0,0,09:30
50072,0.0360027,0,0,09:30
50202,1.188604,0,0,09:30
51177,0.0482642,0,0,09:30
51365,-0.6144714,0,0,09:30
51724,-1.218476335,0,0,09:30
51853,-0.2503249,0,0,09:30
51960,-0.363874536,0,0,09:30
52246,-0.9468826,0,0,09:30
52313,-0.2588302,0,0,09:30
52874,0.3465687,0,0,09:30
53206,0.5001919,0,0,09:30
53323,-0.7351321,0,0,09:30
53378,0.3780673,0,0,09:30
53502,0.6282944,0,0,09:30
53534,0.4548685,0,0,09:30
53555,-0.0421332,0,0,09:30
53568,0.7797077,0,0,09:30
53975,-0.2551033,0,0,09:30
54098,-0.3183957,0,0,09:30
54107,-0.4252655,0,0,09:30
54147,0.5332159,0,0,09:30
54224,0.1454086,0,0,09:30
54282,0.7187483,0,0,09:30
54493,0.3381577,0,0,09:30
54500,-0.1446568,0,0,09:30
54971,0.197761697,0,0,09:30
55771,-0.3347179,0,0,09:30
55977,-0.3025772,0,0,09:30
55991,-0.2845788,0,0,09:30
55995,-0.8946785,0,0,09:30
56208,-0.71656051,0,0,09:30
56209,-0.3108428,0,0,09:30
56408,-0.8885099,0,0,09:30
56665,1.4032212,0,0,09:30
56831,0.39610781,0,0,09:30
56925,0.4416452,0,0,09:30
56949,-0.2597298,0,0,09:30
57236,0.2589547,0,0,09:30
57346,0.6112475,0,0,09:30
57819,-0.08670168,0,0,09:30
57911,0.3736185,0,0,09:30
57939,-0.1315951,0,0,09:30
87513,0.5249024,0,0,09:30
87713,0.6253674,0,0,09:30
87808,-0.622318,0,0,09:30
88073,0.3755132,0,0,09:30
88162,-0.3233367,0,0,09:30
88391,-0.045018802,0,0,09:30
88412,-0.8293806,0,0,09:30
88495,-0.109659143,0,0,09:30
88570,-0.3691335,0,0,09:30
89117,-1.1448869,0,0,09:30
89532,0.6638793,0,0,09:30
89793,-1.2441677,0,0,09:30
90554,0.3355795,0,0,09:30
91292,-0.9364049,0,0,09:30
91358,0.3091077,0,0,09:30
91383,0.4012835,0,0,09:30
91506,0.3467357,0,0,09:30
91652,0.843373494,0,0,09:30
91884,0.2905958,0,0,09:30
92198,0.8019133,0,0,09:30
92478,-0.221562075,0,0,09:30
92491,-0.0041275,0,0,09:30
92511,-0.6846536,0,0,09:30
92697,0,0,0,09:30
92701,0.052903,0,0,09:30
92930,-0.2324127,0,0,09:30
93314,0.803034344,0,0,09:30
93370,-1.1837844,0,0,09:30
93913,-0.3417344,0,0,09:30
94009,0.5621713,0,0,09:30
94515,-0.547680412,0,0,09:30
95022,-0.8828622,0,0,09:30
95373,0.0059005,0,0,09:30
95895,-0.3404981,0,0,09:30
95999,0.891560569,0,0,09:30
96143,-0.591627573,0,0,09:30
96278,-0.25943935,0,0,09:30
96294,-1.04895,0,0,09:30
96481,0.8033823,0,0,09:30
97067,1.0211962,0,0,09:30
97476,1.037819842,0,0,09:30
97735,0.2435207,0,0,09:30
98285,0.0936784,0,0,09:30
98299,-0.668358929,0,0,09:30
98534,-0.4501535,0,0,09:30
98552,0.6692235,0,0,09:30
98858,-0.0975617,0,0,09:30
98947,-0.2064677,0,0,09:30
99025,0.2853344,0,0,09:30
99236,0,0,0,09:30
99381,-0.3524391,0,0,09:30
99457,0.124902947,0,0,09:30
99495,0.5213345,0,0,09:30
99497,-0.6351563,0,0,09:30
99764,-0.402712,0,0,09:30
99912,0.1360521,0,0,09:30
100244,-0.5428591,0,0,09:30
100630,-0.2450167,0,0,09:30
100661,-0.111982083,0,0,09:30
100673,0.6119041,0,0,09:30
